SRR12533881	SRR12533882	SRR12533883	SRR12533884	SRR12533885	SRR12533886	SRR12533887	SRR12533888	SRR12533889	SRR12533890	SRR12533891	SRR12533892	SRR12533893	SRR12533894	SRR12533895	SRR12533896	SRR12533897	SRR12533898	SRR12533899	SRR12533900	SRR12533901	SRR12533902	SRR12533903	SRR12533904	SRR12533905	SRR12533906	SRR12533907	SRR12533908	SRR12533909	SRR12533910	SRR12533911	SRR12533912	SRR12533913	SRR12533914	SRR12533915	SRR12533916	SRR12533917	SRR12533918	SRR12533919	SRR12533920	SRR12533921	SRR12533922	SRR12533923	SRR12533924	SRR12533925	SRR12533926	SRR12533927	SRR12533928	SRR12533929	SRR12533930	SRR12533931	SRR12533932	SRR12533933	SRR12533934	SRR12533935	SRR12533936	SRR12533937	SRR12533938	SRR12533939	SRR12533940	SRR12533941	SRR12533942	SRR12533943	SRR12533944	SRR12533945	SRR12533946	SRR12533947	SRR12533948	SRR12533949	SRR12533950	SRR12533951	SRR12533952	SRR12533953	SRR12533954	SRR12533955	SRR12533956	SRR12533957	SRR12533958	SRR12533959	SRR12533960	SRR12533961	SRR12533962	SRR12533963	SRR12533964	SRR12533965	SRR12533966	SRR12533967	SRR12533968	SRR12533969	SRR12533970	SRR12533971	SRR12533972	SRR12533973	SRR12533974	SRR12533975	SRR12533976	SRR12533977	SRR12533978	SRR12533979	SRR12533980	SRR12533981	SRR12533982	SRR12533983	SRR12533984	SRR12533985	SRR12533986	SRR12533987	SRR12533988	SRR12533989	SRR12533990	SRR12533991	SRR12533992	SRR12533993	SRR12533994	SRR12533995	SRR12533996	SRR12533997	SRR12533998	SRR12533999	SRR12534000	SRR12534001	SRR12534002	SRR12534003	SRR12534004	SRR12534005	SRR12534006	SRR12534007	SRR12534008	SRR12534009	SRR12534010	SRR12534011	SRR12534012	SRR12534013	SRR12534014	SRR12534015	SRR12534016	SRR12534017	SRR12534018	SRR12534019	SRR12534020
asv21	78	218	30523	10	2514	13	51	1934	27	383	123	0	122	1358	14786	625	1809	7089	323	0	246	57	7423	1737	0	3581	18291	2599	189	7	62	11413	0	10195	494	33385	0	0	50	0	0	2138	86	684	4545	0	106	548	4630	0	9029	23	1656	107	0	289	24	0	71	42	278	518	9865	34	0	9	631	1144	2334	365	45	1193	4599	222	6	1113	94	1319	2673	7	62	167	0	28	29346	83	133	0	0	692	60	784	222	0	0	107	6592	223	2282	0	432	4136	0	206	120	4623	18994	195	438	82	0	0	28	3735	571	0	49	0	232	0	56	0	0	0	0	38	233	74	0	1354	19962	27	176	3243	0	0	664	1203	1124	0
asv22	0	0	0	14	0	0	0	68	0	5	0	13277	0	18	2155	13990	0	10	0	42	0	3	8	29	0	0	0	0	0	14355	0	0	0	0	0	25	85285	0	0	909	0	0	0	0	0	24161	0	833	0	14986	7	0	8	0	0	13	0	0	0	6	6	2309	17	555	0	0	589	0	35	2115	0	0	0	14	1411	91	0	902	0	284	0	0	0	713	120	0	0	62	1062	0	3	2868	436	2296	15	0	0	0	0	0	0	8	247	30	0	48	0	0	0	318	0	33	0	0	0	0	0	51040	35	2	32586	805	17001	28	0	0	0	0	109	0	0	0	282	0	91	0	9	0	0	0
asv23	68	0	50	43	537	0	0	958	68	93	0	773	305	0	0	378	37	17	79	99	0	0	0	169	0	10	34	583	0	80	0	0	0	13	75	24	186	29	3280	0	88	403	201	0	234	0	0	44	0	0	0	0	0	221856	5	98	0	195	0	0	29	200	241	384	0	55	0	238	12	47	154	0	130	222	415	806	0	0	59	0	62	0	0	0	0	0	0	0	0	36	0	0	166	0	201	94	45	225	99	0	0	27	63	71	55	147	55	0	26105	0	0	0	0	25	0	0	1033	151	302	12	25	5013	0	0	0	0	0	28	0	81	401	0	410	0	0	20	416	0	58	0
asv24	477	0	893	580	9742	205	54	3276	457	238	116	1053	1227	363	1650	14248	87	125	708	812	167	0	4232	4325	1251	87	893	17754	80	0	852	383	0	463	517	2081	359	80	6089	1898	671	1821	1065	0	625	5150	1188	196	0	1495	3126	1304	438	35642	0	333	1653	109	116	922	4045	3038	406	4	283	1568	1709	684	359	619	972	128	0	3434	882	15949	145	1064	204	11561	10095	266	727	1932	6035	772	1001	409	1925	395	2130	815	2807	0	1734	727	497	1038	548	0	701	1769	417	266	325	1586	256	0	5091	533	0	189	223	1570	0	0	7095	78	1763	144	0	2519	462	183	195	71	0	125	9401	2042	0	65	2441	2286	0	423	186	100	312	762
asv25	1236	613	90	102	691	380	58	244	7107	0	235	63	615	162	2437	583	1424	5212	4381	381	2071	3278	6189	540	1237	5	178	3244	27	2	1801	2229	0	731	319	300	1584	201	329	4369	443	0	1531	3	214	0	11107	8941	194	0	2794	2672	2176	8357	4	33	2764	1145	44	1609	0	9616	5155	376	5507	2392	130	629	895	1280	1070	3544	5370	746	10779	281	229	2437	1666	3786	1398	168	3145	1090	402	6759	5859	344	3145	482	4010	50	10245	416	0	968	218	5531	4863	253	3076	1113	93	1344	496	863	186	0	0	2273	0	0	83	1500	0	2337	123	0	39	3338	0	896	9	9	0	317	28	7372	0	1272	4012	920	8299	21	0	47	2405	921	896	1962
asv26	0	9	0	0	0	0	7	0	0	49	0	0	0	0	501	0	0	63	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4138	0	13	14832	0	57	2251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6594	48	0	24	0	155	310	0	343	0	0	0	0	0	16546	0	26	0	0	13904	113696	8960	0	49	0	0	0	0	0	0	0	691	0	0	0	0	0	0	0	0	0	94	33446	16	58	0	0	0	0
asv27	77	7063	0	0	0	0	0	0	14	242	64	0	5546	96	0	0	0	0	3939	0	1154	33	3816	49016	0	0	0	42465	0	0	0	0	22	0	6	2392	27	0	302	14	52	0	0	0	168	0	0	373	0	0	0	798	65	0	45	0	0	0	0	11	0	53	4651	0	0	0	0	0	0	0	0	185	416	111	0	146	0	217	19166	13	73	0	55	0	37	1050	932	0	0	550	0	0	0	0	0	385	103	0	47	0	9	0	0	0	3390	20	0	0	0	24	0	0	0	10905	3531	0	10916	0	328	38	0	0	11	0	21372	325	2568	107	0	9836	0	141	8086	78	0	0	0	0	0	32
asv28	10898	189	0	0	424	0	0	0	1041	740	179	0	4184	362	71	548	5506	891	4137	0	623	455	655	1154	90	2767	146	0	2066	122	93	802	0	4315	14256	1390	194	75	176	0	543	509	1524	310	3616	0	559	1120	5	0	13490	0	6	0	0	165	4224	0	227	0	0	539	236	0	0	248	1320	4400	2234	204	0	694	1218	37	0	127	1606	1621	8460	387	49	389	5545	132	520	4167	3413	39	1873	415	44	0	1095	0	0	593	184	2895	13670	4319	2916	18029	0	916	576	523	37	0	0	0	0	0	784	0	22035	0	30	0	51	2319	110	344	0	65	0	46	514	5791	0	3355	0	611	0	20	0	528	0	1935	2049	645
asv29	0	0	0	0	254	1116	44	3116	58	0	0	41	2356	2575	2521	0	6719	16	0	0	20	96	991	90	1	0	39	55	0	0	2	13469	0	5	23191	0	0	0	4	22	4	0	9	0	7896	0	6371	616	0	0	0	0	0	0	0	0	0	50	0	0	0	0	146	0	649	4280	22	0	2281	40	10	94	0	0	0	207	0	22	13	0	21493	0	0	6	1563	7	24723	36	918	0	230	43	1113	83	0	36	532	78	3860	207	656	1852	0	8	27	1084	0	0	26	0	0	0	574	17	116	379	0	0	3893	19489	0	334	0	0	0	2	0	19966	0	0	0	16	36	0	0	0	409	3238	1500	0
asv30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	214	180284	74	22	47	0	0	0	0	0	0	0	88	0	0	0	65	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
